Country,City,Weekday mean,Weekend mean,Daily mean,Year
SI,Novo mesto,88.61,121.57,107.44,2020-01-01
PT,Lisbon,100.73,112.92,106.82,2013-01-01
BE,Ninove,88.37,119.58,106.2,2013-01-01
FR,Paris South Suburbs,51.67,143.8,104.31,2017-01-01
SE,Gävle,69.19,129.32,103.55,2020-01-01
IS,Reykjavik Klettagarðar,75.6,119.37,100.61,2016-01-01
HR,Zagreb,88.22,109.66,100.47,2015-01-01
BE,Ninove,73.29,117.45,98.52,2015-01-01
BE,Oostende,74.5,115.63,98.0,2016-01-01
SK,Bratislava (2),79.57,111.4,97.76,2018-01-01
NO,Oslo,83.03,109.66,96.35,2012-01-01
SE,Uppsala,71.96,111.83,94.74,2020-01-01
NO,Oslo,90.98,93.81,92.59,2017-01-01
SI,Maribor,73.97,106.51,92.56,2018-01-01
PT,Porto,93.98,91.25,92.42,2015-01-01
PT,Porto,75.48,102.2,90.75,2016-01-01
LT,Klaipeda,75.3,100.86,89.91,2020-01-01
LT,Klaipeda,68.59,103.65,88.63,2019-01-01
BE,Koksijde,73.15,97.48,87.05,2018-01-01
SE,Gävle,73.41,94.61,85.53,2019-01-01
DE,Dülmen,62.87,99.96,84.07,2016-01-01
AT,Klosterneuburg,66.35,96.16,83.39,2015-01-01
PT,Almada,98.94,69.97,82.39,2017-01-01
FI,Helsinki,60.55,98.05,81.98,2020-01-01
CY,Nicosia,66.39,92.85,81.51,2016-01-01
BE,Oostende,68.23,90.08,80.71,2015-01-01
GR,Athens,67.43,89.53,80.06,2014-01-01
HR,Zagreb,67.06,89.76,80.03,2013-01-01
DE,Munich Gut_Grosslappen,73.22,84.14,79.46,2014-01-01
SE,Sandviken,43.95,105.66,79.21,2020-01-01
CY,Limassol,85.26,74.2,78.94,2015-01-01
LV,Riga,57.09,94.79,78.63,2020-01-01
SK,Bratislava (2),73.01,82.36,78.35,2017-01-01
HR,Zagreb,65.75,86.19,77.43,2014-01-01
SK,Bratislava (2),71.11,81.87,77.26,2016-01-01
BE,Koksijde,48.23,98.73,77.09,2016-01-01
BE,Koksijde,57.22,89.88,75.89,2017-01-01
AT,Region Millstattersee,69.46,80.41,75.72,2020-01-01
LT,Vilnius,48.95,95.52,75.56,2019-01-01
FI,Helsinki,52.83,89.54,73.81,2019-01-01
AT,Region Millstattersee,56.45,83.83,72.1,2018-01-01
DE,Erfurt,55.51,86.54,71.02,2020-01-01
LT,Vilnius,51.75,85.43,70.99,2020-01-01
NO,Oslo,40.46,91.94,69.88,2013-01-01
HR,Zagreb,56.37,79.87,69.8,2012-01-01
MT,Malta,61.5,73.66,68.45,2015-01-01
PT,Almada,57.12,76.35,68.11,2016-01-01
BE,Geraardsbergen,50.01,64.5,66.26,2014-01-01
SK,Bratislava (2),47.69,80.08,66.2,2015-01-01
LT,Kaunas,58.04,70.83,65.35,2020-01-01
LT,Kaunas,45.4,80.26,65.32,2019-01-01
AT,Kapfenberg,54.24,72.58,64.72,2019-01-01
BE,Brugge,73.1,57.83,64.37,2018-01-01
PT,Almada,54.83,70.16,63.59,2015-01-01
CZ,Karlovy Vary,51.8,72.28,63.51,2020-01-01
GR,Athens,52.82,70.68,63.03,2015-01-01
FI,Helsinki,43.96,77.08,62.88,2018-01-01
LT,Klaipeda,40.09,79.6,62.67,2018-01-01
SK,Bratislava (2),62.3,62.87,62.62,2019-01-01
SE,Uppsala,55.47,67.37,62.27,2019-01-01
CY,Nicosia,66.66,56.98,61.13,2015-01-01
CY,Nicosia,59.38,62.22,61.0,2013-01-01
SE,Söderhamn,29.1,82.06,59.36,2020-01-01
GR,Athens,60.13,58.52,59.21,2013-01-01
CY,Nicosia,52.86,61.65,57.88,2020-01-01
IS,Reykjavik Klettagarðar,56.81,58.62,57.84,2015-01-01
LT,Kaunas,42.25,69.09,57.59,2018-01-01
LV,Riga,52.81,60.74,57.34,2019-01-01
FR,Paris South Suburbs,47.72,63.56,56.77,2018-01-01
GR,Athens,50.73,59.81,55.91,2019-01-01
BE,Geraardsbergen,46.9,62.03,55.55,2015-01-01
AT,Region Millstattersee,33.71,71.79,55.47,2019-01-01
PT,Almada,45.22,61.44,54.49,2014-01-01
TR,Istanbul (II-VII),52.69,55.75,54.44,2020-01-01
PL,Krakow P,45.31,60.45,53.96,2020-01-01
NO,Oslo,45.59,57.83,52.59,2011-01-01
DE,Erfurt,38.95,61.83,52.03,2019-01-01
BE,Koksijde,42.32,58.71,51.68,2013-01-01
BE,Koksijde,45.35,56.32,51.62,2015-01-01
CZ,Prague,53.7,49.75,51.45,2013-01-01
HR,Zagreb,42.57,55.48,49.95,2011-01-01
LT,Vilnius,33.42,62.08,49.8,2018-01-01
DE,Erfurt,38.33,56.23,48.56,2017-01-01
DE,Dülmen,33.46,59.66,48.43,2013-01-01
CZ,Prague,39.18,55.22,48.34,2012-01-01
FI,Espoo,36.5,55.44,47.33,2020-01-01
FI,Espoo,34.94,55.39,46.63,2019-01-01
PL,Krakow P,36.41,54.2,46.57,2019-01-01
DE,Erfurt,37.16,52.71,46.05,2018-01-01
CZ,Ostrava,40.58,49.02,45.4,2020-01-01
FI,Lahti,33.24,52.46,44.22,2018-01-01
CY,Limassol,50.95,38.61,43.9,2020-01-01
CH,Basel,38.72,45.34,42.51,2015-01-01
DE,Dresden,33.53,48.61,42.14,2020-01-01
CZ,Brno,30.78,49.99,41.76,2019-01-01
FI,Mariehamn,27.95,51.71,41.53,2020-01-01
RS,Belgrade,34.13,47.26,40.69,2013-01-01
GR,Athens,37.15,42.38,38.28,2017-01-01
DE,Nuremberg,31.15,43.56,38.24,2020-01-01
SK,Bratislava (2),23.27,44.03,37.56,2013-01-01
FI,Lahti,32.62,41.14,37.49,2020-01-01
TR,Istanbul (II-VII),34.32,37.65,36.22,2019-01-01
LT,Vilnius,22.55,43.82,34.7,2017-01-01
DE,Dresden,25.76,38.94,33.29,2018-01-01
SK,Piestany,23.21,40.67,33.19,2019-01-01
DE,Dülmen,16.95,43.02,31.85,2014-01-01
CZ,Brno,23.0,38.36,31.78,2018-01-01
BA,Sarajevo,27.1,33.19,30.58,2013-01-01
SE,Gothenburg,23.89,35.6,30.58,2013-01-01
GR,Athens,25.25,34.28,30.41,2016-01-01
FI,Helsinki,19.86,37.48,29.93,2017-01-01
FI,Espoo,23.26,34.27,29.55,2018-01-01
DE,Dresden,20.28,34.03,28.14,2019-01-01
DE,Dülmen,15.14,33.56,27.42,2015-01-01
CZ,Ostrava,18.01,34.46,27.41,2019-01-01
DE,Chemnitz,19.58,33.15,27.34,2020-01-01
FI,Tampere,19.08,33.11,27.1,2018-01-01
CZ,Budweis,17.09,34.07,26.8,2018-01-01
DE,Munich Gut_Grosslappen,36.37,20.43,26.8,2015-01-01
SE,Gothenburg,17.63,31.04,25.3,2012-01-01
AT,Purgstall,27.42,22.11,24.39,2020-01-01
CZ,Brno,14.9,31.19,24.21,2017-01-01
FI,Mariehamn,26.87,27.25,23.98,2018-01-01
AT,Mürzzuschlag,24.29,23.58,23.89,2019-01-01
BE,Geraardsbergen,16.9,25.87,22.88,2013-01-01
AT,Purgstall,13.04,28.77,22.03,2019-01-01
SK,Piestany,8.39,32.22,22.01,2018-01-01
DE,Dresden,17.05,23.72,20.86,2017-01-01
DE,Chemnitz,20.26,20.31,20.29,2017-01-01
SK,Piestany,17.04,22.28,20.03,2016-01-01
CZ,Budweis,15.47,22.47,19.47,2019-01-01
FI,Kotka,13.54,22.09,18.43,2020-01-01
FI,Tampere,13.55,21.85,18.29,2020-01-01
DE,Nuremberg,9.28,24.73,18.11,2017-01-01
DE,Dresden,15.17,19.6,17.7,2016-01-01
FI,Turku,11.08,22.36,17.52,2020-01-01
FI,Espoo,12.1,20.8,17.07,2017-01-01
FI,Kotka,13.97,19.22,16.97,2018-01-01
FI,Vihti,10.72,21.48,16.87,2020-01-01
FI,Helsinki,11.93,20.36,16.75,2016-01-01
GR,Eleusis,20.13,13.65,16.43,2019-01-01
FI,Tampere,12.72,18.96,16.29,2017-01-01
RS,Novi Sad,14.33,16.51,15.78,2013-01-01
CY,Limassol,13.38,14.32,13.92,2013-01-01
DE,Chemnitz,6.73,18.16,13.26,2019-01-01
FI,Tampere,9.32,15.19,12.67,2019-01-01
FI,Hämeenlinna,5.16,18.1,12.55,2020-01-01
CZ,Budweis,10.39,14.09,12.5,2017-01-01
DE,Chemnitz,9.45,14.02,12.06,2018-01-01
FI,Turku,7.55,13.71,11.07,2019-01-01
FI,Lahti,9.0,12.55,11.03,2014-01-01
FI,Espoo,6.42,13.56,10.5,2016-01-01
FI,Helsinki,5.38,13.41,9.97,2015-01-01
FI,Lahti,14.95,6.16,9.93,2016-01-01
GR,Thessaloniki,10.4,9.12,9.67,2015-01-01
FI,Helsinki,7.01,11.19,9.4,2014-01-01
FI,Helsinki,5.47,12.12,9.27,2012-01-01
DE,Dresden,7.47,9.08,8.39,2014-01-01
FI,Kouvola,6.62,9.45,8.24,2018-01-01
FI,Espoo,6.05,9.18,7.84,2015-01-01
DE,Dresden,6.51,8.84,7.84,2015-01-01
FI,Kouvola,7.54,7.57,7.55,2020-01-01
FI,Hämeenlinna,8.02,6.62,7.22,2018-01-01
FI,Turku,5.22,8.24,6.94,2018-01-01
CZ,Budweis,6.3,7.24,6.83,2016-01-01
CZ,Budweis,7.19,6.53,6.82,2011-01-01
FI,Tampere,4.54,7.86,6.44,2016-01-01
SK,Piestany,4.36,7.85,6.35,2017-01-01
FI,Espoo,4.99,7.15,6.23,2014-01-01
SK,Piestany,3.87,7.87,6.15,2015-01-01
DE,Dresden,5.44,6.42,6.0,2013-01-01
FI,Kuopio,1.86,8.91,5.89,2020-01-01
FI,Seinäjoki,3.69,7.32,5.76,2020-01-01
CZ,Budweis,4.07,6.49,5.45,2015-01-01
CZ,Budweis,5.98,4.71,5.25,2012-01-01
SE,Umea,5.02,5.1,5.07,2013-01-01
FI,Tampere,4.41,5.55,5.06,2015-01-01
TR,Adana,5.09,4.73,4.89,2020-01-01
FI,Turku,3.28,5.84,4.74,2017-01-01
FI,Pori,2.89,5.39,4.32,2018-01-01
FI,Kuopio,5.41,3.46,4.3,2014-01-01
FI,Kotka,2.93,5.24,4.25,2014-01-01
FI,Pori,3.02,4.29,3.74,2020-01-01
FI,Oulu,2.88,4.35,3.72,2020-01-01
FI,Rovaniemi,3.13,3.93,3.59,2018-01-01
